image_name,work_name,songs,song_display_names
"gal_9nine.jpg","9nine","gal_米倉千尋_-_DEAR_MY_WAKER.mp3|gal_米倉千尋_-_ReAliZe.mp3","米倉千尋 - DEAR MY WAKER|米倉千尋 - ReAliZe"
"gal_Ambitious_Mission.jpg","Ambitious Mission","gal_茶太_-_めくるめく.mp3|gal_佐藤アスカ_-_breaking_light.mp3","茶太 - めくるめく|佐藤アスカ - breaking light"
"gal_ATRI_-My_Dear_Moments-.jpg","ATRI -My Dear Moments-","gal_柳麻美_-_光放て!.mp3","柳麻美 - 光放て！"
"gal_BALDR_SKY.jpg","BALDR SKY","gal_KOTOKO_-_Face_of_Fact.mp3|gal_KOTOKO_-_jihad.mp3|gal_KOTOKO_-_Restoration_~沈黙の空~.mp3","KOTOKO - Face of Fact|KOTOKO_-_jihad|KOTOKO_-_Restoration_~沈黙の空~"
"gal_Clover_Days.jpg","Clover Days","gal_茶太_-_しあわせがたりfull_ver.mp3|gal_真理絵_-_Clover_Day's_full_ver.mp3|gal_真理絵_-_Clover_Heart's_-New_days_recording-_full_ver.mp3","茶太 - しあわせがたりfull ver|真理絵 - Clover Day's full ver|真理絵 - Clover Heart's -New days recording- full ver"
"gal_DOKI_DOKI_Literature_Club!.jpg","DOKI DOKI Literature Club!","gal_Dan_Salvato_-_Doki_Doki_Literature_Club!.mp3|gal_Dan_Salvato,Jillian_Ashcraft_-_Your_Reality.mp3","Dan Salvato - Doki Doki Literature Club!|Dan Salvato,Jillian Ashcraft - Your Reality"
"gal_eden.jpg","eden","gal_原田ひとみ_-_little_explorer.mp3","原田ひとみ - little explorer"
"gal_FLIPFLOP.jpg","FLIPFLOP","gal_月乃_-_キラキラ☆ハート♡リンケージ!_Full_Ver.mp3|gal_月乃_-_Phalaenopsis-reaction_Full_Ver.mp3","月乃 - キラキラ☆ハート♡リンケージ! Full Ver|月乃 - Phalaenopsis-reaction Full Ver"
"gal_LOOPERS.jpg","LOOPERS","gal_sana_sajou_no_hana,VISUAL_ARTS_,_Key_-_フカキユメミシ.mp3|gal_sana_sajou_no_hana,VISUAL_ARTS_,_Key_-_君との宝探し.mp3|gal_sana_sajou_no_hana,VISUAL_ARTS_,_Key_-_千夜一夜VORTEX.mp3","sana sajou no hana,VISUAL ARTS , Key - フカキユメミシ|sana sajou no hana,VISUAL ARTS , Key - 君との宝探し|sana sajou no hana,VISUAL ARTS , Key - 千夜一夜VORTEX"
"gal_Making_lovers.jpg","Making lovers","gal_ユウカ_-_Girls'_Carnival.mp3","ユウカ - Girls' Carnival"
"gal_Nekopara.jpg","Nekopara","gal_Duca_-_ネコイチ.mp3|gal_nao_-_タイヨウパラダイス.mp3|gal_霜月はるか_-_ねこまんま日和.mp3","Duca - ネコイチ|nao - タイヨウパラダイス|霜月はるか - ねこまんま日和"
"gal_ReLieF.jpg","ReLieF","gal_紫咲ほたる_-_ReTrymenT.mp3","紫咲ほたる - ReTrymenT"
"gal_Rewrite.jpg","Rewrite","gal_やなぎなぎ_-_恋文.mp3|gal_多田葵_-_CANOE.mp3|gal_水谷瑠奈,VISUAL_ARTS_,_Key_-_Philosophyz.mp3","やなぎなぎ - 恋文|多田葵 - CANOE|水谷瑠奈,VISUAL ARTS , Key - Philosophyz"
"gal_Riddle_Joker.jpg","Riddle Joker","gal_橋本みゆき,佐咲紗花_-_astral_ability.mp3","橋本みゆき,佐咲紗花 - astral ability"
"gal_Steins;Gate.jpg","Steins;Gate","gal_彩音_-_いつもこの場所で.mp3|gal_いとうかなこ_-_Hacking_to_the_Gate.mp3","彩音 - いつもこの場所で|いとうかなこ - Hacking to the Gate"
"gal_Summer_Pockets.jpg","Summer Pockets","gal_鈴木このみ,VISUAL_ARTS_,_Key_-_アルカテイル.mp3|gal_岩井映美里,VISUAL_ARTS_,_Key_-_紬の夏休み.mp3|gal_鈴木このみ,VISUAL_ARTS_,_Key_-_Lasting_Moment.mp3","鈴木このみ,VISUAL ARTS , Key - アルカテイル|岩井映美里,VISUAL ARTS , Key - 紬の夏休み|鈴木このみ,VISUAL ARTS , Key - Lasting Moment"
"gal_WHITE_ALBUM_2.jpg","WHITE ALBUM 2","gal_上原れな_-_届かない恋.mp3","上原れな - 届かない恋"
